Time (h),Aeration rate(Fg:L/h),Agitator RPM(RPM:RPM),Sugar feed rate(Fs:L/h),Acid flow rate(Fa:L/h),Base flow rate(Fb:L/h),Heating/cooling water flow rate(Fc:L/h),Heating water flow rate(Fh:L/h),Water for injection/dilution(Fw:L/h),Air head pressure(pressure:bar),Dumped broth flow(Fremoved:L/h),Substrate concentration(S:g/L),Dissolved oxygen concentration(DO2:mg/L),Penicillin concentration(P:g/L),Vessel Volume(V:L),Vessel Weight(Wt:Kg),Temperature(T:K),Generated heat(Q:kJ),carbon dioxide percent in off-gas(CO2outgas:%),PAA flow(Fpaa:PAA flow (L/h)),PAA concentration offline(PAA_offline:PAA (g L^{-1})),Oil flow(Foil:L/hr),NH_3 concentration off-line(NH3_offline:NH3 (g L^{-1})),Oxygen Uptake Rate(OUR:(g min^{-1})),Oxygen in percent in off-gas(O2:O2  (%)),Offline Penicillin concentration(P_offline:P(g L^{-1})),Offline Biomass concentratio(X_offline:X(g L^{-1})),Carbon evolution rate(CER:g/h),Ammonia shots(NH3_shots:kgs),Viscosity(Viscosity_offline:centPoise),Fault reference(Fault_ref:Fault ref),1- No Raman spec, 1-Raman spec recorded,2-PAT control(PAT_ref:PAT ref)
0.2,30,100,8,0.0,30.118,9.8335,0.0001,0,0.6,0,0.95749,14.711,1.0178000000000001e-25,58479,62574,298.22,1e-06,0.089514,5,,22,,0.48051,0.19595,,,0.034045,0,,0,1,1,1
0.4,30,100,8,0.0,51.221,18.155,0.0001,0,0.6,0,1.0046,14.699,0.001,58487,62585,298.17,1e-06,0.10176,5,,22,,0.058147,0.2039,,,0.038702,0,,0,1,1,1
0.6,30,100,8,0.0,54.302,9.5982,0.0001,0,0.6,0,1.0498,14.686,0.00099934,58495,62598,298.14,1e-06,0.1058,5,,22,,-0.041505,0.20575,,,0.04024,0,,0,1,1,1
0.8,30,100,8,0.0,37.816,4.3395,0.0001,0,0.6,0,1.0942,14.661,0.00099874,58499,62607,298.11,1e-06,0.10819,5,,22,,-0.056737,0.20602,,,0.041149,0,,0,1,1,1
1.0,30,100,8,0.5181,18.908,1.1045,0.0001,0,0.6,0,1.137,14.633,0.00099821,58501,62613,298.09,1e-06,0.1103,5,1488.0,22,1667.8,-0.049975,0.20589,1.0178000000000001e-25,0.52808,0.041951,0,4.083,0,1,1,1
1.2,30,100,8,1.0387,9.4541,0.0001,0.0001,0,0.6,0,1.1782,14.621,0.00099771,58500,62617,298.08,1e-06,0.11242,5,,22,,-0.045267,0.2058,,,0.042758,0,,0,1,1,1
1.4,30,100,8,1.5604,4.727,0.0001,0.0001,0,0.6,0,1.2172,14.604,0.00099722,58498,62620,298.07,1e-06,0.11463,5,,22,,-0.039369,0.20569,,,0.043599,0,,0,1,1,1
1.6,30,100,8,2.0823,2.3635,0.0001,0.0001,0,0.6,0,1.2544,14.583,0.00099674,58497,62622,298.06,1e-06,0.11694,5,,22,,-0.031033,0.20553,,,0.044478,0,,0,1,1,1
1.8,30,100,8,0.0,0.0,0.0001,0.0001,0,0.6,0,1.2891,14.547,0.00099627,58494,62624,298.06,1e-06,0.11936,5,,22,,-0.016025,0.20524,,,0.045398,0,,0,1,1,1
2.0,30,100,8,0.0,0.0,0.51077,0.0001,0,0.6,0,1.3218,14.529,0.0009958,58491,62626,298.05,1e-06,0.12189,5,,22,,-0.0071831,0.20507,,,0.046361,0,,0,1,1,1
2.2,30,100,8,0.0,6.7741,1.638,0.0001,0,0.6,0,1.3523,14.509,0.0009953,58490,62629,298.05,1e-06,0.12453,5,,22,,0.00095122,0.20492,,,0.047367,0,,0,1,1,1
2.4,30,100,8,0.0,18.126,3.2411,0.0001,0,0.6,0,1.3804,14.496,0.00099477,58491,62634,298.05,0.0275,0.12729,5,,22,,0.0054429,0.20483,,,0.048418,0,,0,1,1,1
2.6,30,100,8,0.0,28.037,5.2094,0.0001,0,0.6,0,1.406,14.462,0.00099421,58494,62642,298.05,0.27393,0.13018,5,,22,,0.018177,0.20458,,,0.049515,0,,0,1,1,1
2.8,30,100,8,0.0,31.908,7.4531,0.0001,0,0.6,0,1.429,14.434,0.00099363,58497,62650,298.05,0.62348,0.13318,5,,22,,0.030167,0.20435,,,0.050658,0,,0,1,1,1
3.0,30,100,8,0.0,28.397,9.8571,0.0001,0,0.6,0,1.4495,14.408,0.00099306,58500,62657,298.05,0.98893,0.13631,5,,22,,0.040673,0.20415,,,0.05185,0,,0,1,1,1
3.2,30,100,15,0.0,19.594,12.327,0.0001,0,0.6,0,1.4813,14.372,0.00099251,58503,62665,298.06,1.2113,0.13957,5,,22,,0.054921,0.20388,,,0.053091,0,,0,1,1,1
3.4,30,100,15,0.0,10.588,14.665,0.0001,0,0.6,0,1.5099,14.326,0.00099198,58503,62670,298.06,1.4427,0.14297,5,,22,,0.074225,0.20351,,,0.054382,0,,0,1,1,1
3.6,30,100,15,0.0,6.2774,17.049,0.0001,0,0.6,0,1.5362,14.289,0.00099147,58503,62675,298.06,1.8352,0.14649,5,,22,,0.091194,0.20319,,,0.055722,0,,0,1,1,1
3.8,30,100,15,0.0,9.0006,19.671,0.0001,0,0.6,0,1.5601,14.254,0.00099095,58504,62681,298.06,2.5867,0.15015,5,,22,,0.10584,0.20291,,,0.057114,0,,0,1,1,1
4.0,30,100,15,0.0,17.201,22.803,0.0001,0,0.6,0,1.5812,14.213,0.00099039,58506,62688,298.06,3.0896,0.15395,5,,22,,0.12264,0.20258,,,0.058562,0,,0,1,1,1
4.2,30,100,15,0.0,26.041,25.712,0.0001,0,0.6,0,1.6269,14.168,0.00098981,58510,62698,298.06,3.2798,0.1579,5,,30,,0.13701,0.20231,,,0.060065,0,,0,1,1,1
4.4,30,100,15,0.0,30.979,28.297,0.0001,0,0.6,0,1.6703,14.13,0.00098922,58515,62709,298.07,3.9021,0.16198,5,,30,,0.15252,0.20201,,,0.061618,0,,0,1,1,1
4.6,30,100,15,0.0,29.382,31.47,0.0001,0,0.6,0,1.7103,14.083,0.00098863,58519,62720,298.07,4.345,0.1662,5,,30,,0.17099,0.20165,,,0.063224,0,,0,1,1,1
4.8,30,100,15,0.0,22.389,34.489,0.0001,0,0.6,0,1.7475,14.049,0.00098806,58522,62729,298.07,5.3331,0.17057,5,,30,,0.18465,0.20139,,,0.064885,0,,0,1,1,1
5.0,30,100,15,0.0,14.017,38.272,0.0001,0,0.6,0,1.7819,14.003,0.00098753,58524,62737,298.08,6.647,0.17508,5,,30,,0.20142,0.20106,,,0.066604,0,,0,1,1,1
5.2,30,100,15,0.0,9.552,42.595,0.0001,0,0.6,0,1.8122,13.967,0.00098702,58523,62743,298.08,7.8168,0.17976,0,,30,,0.21438,0.20081,,,0.068385,0,,0,1,1,1
5.4,30,100,15,0.0,11.944,46.907,0.0001,0,0.6,0,1.839,13.923,0.00098651,58523,62749,298.08,8.7216,0.1846,0,,30,,0.22995,0.20051,,,0.070228,0,,0,1,1,1
5.6,30,100,15,0.0,19.592,51.046,0.0001,0,0.6,0,1.8633,13.875,0.00098597,58525,62757,298.09,9.9082,0.1896,0,,30,,0.24847,0.20015,,,0.07213,0,,0,1,1,1
5.8,30,100,15,0.0,28.416,55.68,0.0001,0,0.6,0,1.8842,13.83,0.0009854,58528,62767,298.09,9.817,0.19475,0,,30,,0.26607,0.19981,,,0.074088,0,,0,1,1,1
6.0,30,100,15,0.0,33.855,58.835,0.0001,0,0.6,0,1.9017,13.797,0.00098481,58533,62778,298.08,8.9182,0.20005,0,,30,,0.2775,0.19958,,,0.076105,0,,0,1,1,1
6.2,30,100,15,0.0,33.741,60.978,0.0001,0,0.6,0,1.915,13.745,0.00098423,58537,62789,298.08,8.6957,0.20552,0,,30,,0.29452,0.19925,,,0.078189,0,,0,1,1,1
6.4,30,100,15,0.0,28.466,63.885,0.0001,0,0.6,0,1.9241,13.692,0.00098366,58540,62798,298.09,10.104,0.21118,0,,30,,0.31348,0.19888,,,0.080341,0,,0,1,1,1
